Title;Video ID;Published At;Keyword;Likes;Comments;Views
Almost EVERYONE is Wasting Money on Dash Cams.;4AnyhHl3_tE;14/08/2022;tech;146978.0;11105.0;3186890.0
I bought the THINNEST Tech in the world.;nmY2kgWYwyQ;25/03/2022;tech;363771.0;13609.0;11422924.0
iPhone 14 Lineup is NOT what you Expected.. (plot twist);HMqyLcNmsec;24/08/2022;tech;2117.0;486.0;63650.0
Doctor Answers Gut Questions From Twitter | Tech Support | WIRED;Q2ysbTVlPdk;12/05/2022;tech;42841.0;1357.0;1280387.0
Cool Tech Under $50 - July!;zI8KQq5zmyM;02/07/2022;tech;23689.0;2842.0;530889.0
Wolfgang Puck Answers Restaurant Questions From Twitter | Tech Support | WIRED;iEAlq1GPgnc;18/06/2021;tech;55231.0;2175.0;2122433.0
Battle Of The Tech - Super Bike Vs World Superbike;IHnhSxizVOA;31/07/2022;tech;1289.0;183.0;35948.0
OnePlus 10R vs 10T | Unboxing &amp;;;;;;
Tech Hiring Slowdown: What’s Different This Time? | Tech News Briefing Podcast | WSJ;Fpof56HU6SY;10/08/2022;tech;1608.0;273.0;78520.0
10 New Tech Gadgets 2022 | You Can Buy Right Now;bbbQ_X45FaA;27/05/2022;tech;1452.0;38.0;63599.0
Taste Expert Answers Questions From Twitter | Tech Support | WIRED;MtMkU-1p7-0;03/06/2022;tech;35758.0;2056.0;1006704.0
Audiologist Answers Hearing Questions From Twitter | Tech Support | WIRED;QYlXL_8ei6g;19/08/2022;tech;8725.0;790.0;257848.0
James Dyson Answers Design Questions From Twitter | Tech Support | WIRED;zFCFe38EIfE;30/11/2021;tech;110145.0;3289.0;2954979.0
My Massive Tech Unboxing 46.0!;LOrkbagIpiY;28/05/2022;tech;12188.0;326.0;304037.0
Cool Tech Under $50 - April!;UK5OHUmIgcc;02/04/2022;tech;59458.0;4159.0;1541386.0
15 Emerging Technologies That Will Change Our World;My2Tr3k1liw;14/05/2022;tech;3494.0;136.0;589007.0
Veterinarian Answers Pet Questions From Twitter | Tech Support | WIRED;IUwqf08-FKU;05/05/2022;tech;36423.0;1902.0;1085076.0
What Is The Best Position For Descending? | GCN Tech Clinic;U48UrDpXGog;24/08/2022;tech;941.0;221.0;25594.0
My Everyday Tech: 2022!;pTGc7cIBIA;07/01/2022;tech;134194.0;6102.0;4098623.0
INVENTIONS OF THE FUTURE THAT WILL SOON BE AVAILABLE TO EVERYONE;_f8Gb-vojoU;16/03/2022;tech;42075.0;1820.0;7188648.0
Twitter Whistleblower Accuses Company of Privacy  Security Issues | Tech News Briefing Podcast | WSJ;MAeXrShneoQ;24/08/2022;tech;709.0;128.0;25745.0
I Did a Terrible Job of This - Intel $5 000 Extreme Tech Upgrade;AREK4H8k7Ng;23/07/2022;tech;78852.0;3926.0;1889567.0
Cool Tech Under $50 - June!;B0HI0RTZdJw;04/06/2022;tech;32102.0;3243.0;786765.0
18 DEADLY Tech Fails that need to be BANNED.;Wuq7lS9rljw;02/07/2022;tech;188623.0;7464.0;4195072.0
I bought the BIGGEST Tech in the world.;VuG4BcghOSg;04/12/2021;tech;343227.0;20854.0;9618335.0
Neil Gaiman Answers Mythology Questions From Twitter | Tech Support | WIRED;o-jUQhCeazQ;04/08/2022;tech;43960.0;1767.0;791624.0
Sushi Chef Answers Sushi Questions From Twitter | Tech Support | WIRED;ju6y-pHByw;26/05/2022;tech;77411.0;2098.0;2474364.0
Futurum Research&#39;;;;;;
My Favorite Tech of the Month!;UxjgqBamqDU;30/07/2022;tech;4492.0;169.0;274201.0
Paleontologist Answers Dinosaur Questions From Twitter | Tech Support | WIRED;YvZPU-KBCiQ;08/06/2022;tech;51846.0;2371.0;1156785.0
How Biden&#39;;;;;;
Primary results in New York and Florida hold national implications for Democrats;4RkfqEWK2FI;24/08/2022;news;534.0;538.0;57858.0
Ex-CIA director predicts what&#39;;;;;;
President Zelenskyy promises victory over Russia on Ukrainian Independence Day;95MMQzBkE30;24/08/2022;news;588.0;887.0;69951.0
6 months later  what&#39;;;;;;
More than 700 pages of classified documents found at Mar-a-Lago;rqbFOOt1q9M;24/08/2022;news;848.0;1384.0;86855.0
Nadler Celebrates Win In New York House Primary;_XFJpfSFcpU;24/08/2022;news;827.0;1653.0;131012.0
Biden Announces Plan For Federal Student Loan Debt Relief;fNHmQdrlIZE;24/08/2022;news;1200.0;2841.0;54596.0
Morning News NOW Full Broadcast - Aug. 23;zvS8Fmxv1_U;23/08/2022;news;1167.0;180.0;235019.0
Biden plans to forgive $300 billion in student loan debt: Report;OTFKyW-vc_Y;24/08/2022;news;1573.0;2670.0;60528.0
ABC News Live: Trump files motion to bar review of materials seized from Mar-a-Lago;IH3DYzS4MdI;23/08/2022;news;1145.0;793.0;106127.0
More than 100 classified Trump docs recovered from Mar-a-Lago in January;q7sXUpqA_X4;23/08/2022;news;474.0;1553.0;75301.0
National Shutdown | Workers hit the streets over rising cost of living: Pretoria  GP;NS-9bd2hOOQ;24/08/2022;news;82.0;26.0;17145.0
JORNAL DA MANHÃ - 24/08/2022;0IH09JBETbI;24/08/2022;news;23828.0;47.0;500097.0
Trump legal team trying to stop Department of Justice from reviewing records seized from Mar-a-Lago;lX3EBSNjPII;23/08/2022;news;775.0;1517.0;127082.0
Netanyahu: This will make the Middle East a nuclear powder keg;Tey5qEth4oA;24/08/2022;news;8484.0;2192.0;237313.0
Nightly News Full Broadcast - Aug. 19;L5p4Nov0KkU;20/08/2022;news;7946.0;1559.0;905023.0
Americans Are Angry And Worried About U.S. Future  New NBC News Poll Shows;MSTmUJU48g4;21/08/2022;news;510.0;560.0;34715.0
Breaking News: Jharkhand के CM Hemant Soren के करीबी पर ED ने कसी नकेल | Prem Prakash | Ranchi News;Sdm1WsGGU0w;24/08/2022;news;129.0;7.0;10642.0
Zee Hindustan Live News: Attack On Nitish Kumar Convoy | Bihar News | Tejashwi Yadav |Bihar Politics;XHKojSQxTs0;24/08/2022;news;1288.0;3.0;172513.0
【ライブ】最新ニュース：ウクライナ侵攻から半年/ロシア軍ミサイル攻撃の可能性/プーチン氏に近い思想家の娘 爆発死/サルVS山羊/渋谷ホテルで火災/母娘刺傷続報　など（日テレNEWSLIVE）;voU9-39bicg;24/08/2022;news;257.0;1.0;62189.0
අද දෙරණ 6.55 ප්‍රධාන පුවත් විකාශය -  2022.08.24| Ada Derana Prime Time News Bulletin;88w5Q03Lcro;24/08/2022;news;612.0;18.0;60835.0
Najib ke penjara  Mahkamah Persekutuan kekal sabitan;B0ga0OUkb9c;23/08/2022;news;2385.0;1349.0;288722.0
Deadly car bomb detonates outside Moscow;hxd1CrOqg;22/08/2022;news;6379.0;4853.0;808787.0
Jail for Najib as Federal Court upholds ex-PM’s conviction;o3TQPM5OkEU;23/08/2022;news;1009.0;451.0;127803.0
Potential mass shooting foiled in Washington state;lHDn25SLgdk;22/08/2022;news;5630.0;1848.0;533947.0
🔴 හිරු රාත්‍රී 6.55 ප්‍රධාන ප්‍රවෘත්ති ප්‍රකාශය - Hiru TV NEWS 6:55 PM Live | 2022-08-24;kSKxCN8M-WE;24/08/2022;news;686.0;18.0;56683.0
Nightly News Full Broadcast - Aug. 18;fHCk3o_5l7o;19/08/2022;news;7277.0;1294.0;796750.0
Morning News NOW Full Broadcast - Aug. 19;8NL6YyEW2ww;19/08/2022;news;695.0;121.0;159877.0
Ukraine&#39;;;;;;
Dobol B TV Livestream: August 22  2022 - Replay;f2TK2lpFFzs;22/08/2022;news;1030.0;10.0;187892.0
🔴 Live at 8 ප්‍රධාන ප්‍රවෘත්ති විකාශය - 2022-08-24;8Vqj8Ls29HI;24/08/2022;news;198.0;12.0;17763.0
Nightly News Full Broadcast - Aug. 17;uVmNImDu0rQ;18/08/2022;news;7342.0;1531.0;932432.0
UP News: कहा गायब हो गया Abbas Ansari ? 7 राज्यों में पुलिस की आधा दर्जन टीमें कर रही तलाश;_JGrWrwOoD8;23/08/2022;news;286.0;22.0;23135.0
Daughter of Russian ultra-nationalist killed in suspected car bomb attack;hPy7QFsTaLw;21/08/2022;news;2083.0;2195.0;164119.0
18 Million Under Flood Alerts Nationwide;s-XXxzZCkLg;21/08/2022;news;1728.0;665.0;212973.0
🔴 Live at 12 ප්‍රධාන ප්‍රවෘත්ති විකාශය - 2022-08-24;bLHeJmGUyWQ;24/08/2022;news;180.0;16.0;13976.0
Inside the war in Ukraine  6 months since Russia invaded;h4VjpOOWzZ0;21/08/2022;news;1102.0;668.0;106690.0
T. Raja Singh News: T. Raja Singh को जमानत मिली  टी राजा ने दिया था विवादित बयान| Latest News;CBNHQyXOcjE;23/08/2022;news;1688.0;796.0;89985.0
Why Netflix is Now Making Video Games;Ccc0GvjuqkQ;23/08/2022;gaming;8384.0;1307.0;176151.0
